acct_id,name,ntee_major,revenue,state,subsection_type,employee_count,total_expenses,occupancy_expense
NP-0033,Riverside Justice Fund,civil_rights,630111,GA,501c3,10,560959,47828
NP-0034,Sunrise Wildlife Sanctuary,animal,64915,KY,501c3,1,62962,4117
NP-0035,Eastview Counseling Center,mental_health,2388943,NJ,501c3,11,2255353,122858
NP-0036,Riverside Tutoring Initiative,education,89728,NC,501c3,5,83438,7897
NP-0037,Crescent Justice Initiative,crime_legal,992968,NJ,501c3,8,758622,108937
NP-0038,Willow Aid Society,human_services,424821,TX,501c4,15,377853,41007
NP-0039,Liberty Helpline,human_services,43648,OH,501c3,0,32739,626
NP-0040,Central Youth Foundation,youth_development,768002,PA,501c3,17,766459,90866
NP-0041,Southside Wellness Foundation,health_care,12696,IN,501c3,1,10027,696
NP-0042,Mountainview Youth Foundation,youth_development,3414538,SC,501c3,32,3309366,266191
NP-0043,Golden Policy Institute,social_science,614735,CT,501c4,7,657515,52711
NP-0044,Greater Civic Engagement Coalition,public_societal,239233,TX,501c3,5,238635,32768
NP-0045,Saint Innovation Hub,science_tech,141722,GA,501c4,3,113638,8456
NP-0046,Community Advocacy Network,civil_rights,55077,VA,501c3,3,45007,7554
NP-0047,Harvest Educational Trust,education,77188,OH,501c3,1,64309,7052
NP-0048,Pioneer Voter Education Network,public_societal,4211136,MA,501c3,56,3952354,277233
NP-0049,Central Affordable Housing Initiative,housing_shelter,3047782,CO,501c3,36,2581862,660323
NP-0050,Community Aid Society,human_services,22922215,OR,501c4,53,24278964,2511357
NP-0051,Harvest Schools Foundation,education,155485,MI,501c3,2,143967,16427
NP-0052,Lakeshore Neighborhood Coalition,community_improvement,16467,MI,501c3,0,15502,955
NP-0053,Phoenix Land Trust,environment,46936,CA,501c3,0,53812,601
NP-0054,Northern Mentoring Network,youth_development,585860,NH,501c3,11,442403,39507
NP-0055,Foundation Disease Foundation,diseases,828855,WI,501c3,9,749696,109438
NP-0056,Harvest Improvement Trust,community_improvement,423413,WA,501c3,13,372395,22242
NP-0057,Westgate Scholarship Fund,education,3966667,HI,501c3,27,3557144,964275
NP-0058,Unity Neighborhood Coalition,community_improvement,170358,VA,501c3,1,159612,18021
NP-0059,Crescent World Mission,international,229579,WA,501c3,4,181923,28867
NP-0060,Southern STEM Foundation,science_tech,11260,MO,501c3,0,10972,426
NP-0061,Golden Scouts Council,youth_development,12261,MI,501c3,0,10823,226
NP-0062,Heritage Crime Victims Fund,crime_legal,642038,MN,501c3,11,497021,34098
NP-0063,Bayside Land Trust,environment,449283,CO,501c3,18,448845,58368
NP-0064,International Wellness Network,mental_health,26491,PA,501c3,3,26090,1196
NP-0065,Sunrise Educational Trust,education,189314,CA,501c3,0,177616,27553
NP-0066,Harvest Transitional Housing,housing_shelter,43443,MA,501c3,2,34738,11617
NP-0067,Hope Recreation Association,recreation,216056,AZ,501c3,1,209885,58462
NP-0068,Unity Ministry,religion,582343,FL,501c3,9,445499,58701
NP-0069,Family Parks Foundation,recreation,868567,PA,501c3,16,691974,155791
NP-0070,National Justice Initiative,crime_legal,4467142,VA,501c3,26,3498596,298911
NP-0071,Liberty Justice Initiative,crime_legal,171367,MI,501c3,2,131282,5960
NP-0072,Westgate Youth Foundation,youth_development,951158,CA,501c3,20,904586,115823
NP-0073,Community Cross-Border Initiative,international,172917,FL,501c3,0,169759,4251
NP-0074,International Counseling Center,mental_health,2383296,IL,501c3,60,2298476,341819
NP-0075,Willow Employment Coalition,employment,18561864,PA,501c3,40,18137348,1477333
NP-0076,Southern Wellness Network,mental_health,606723,MN,501c3,10,567610,50099
NP-0077,Heritage Educational Trust,education,60379,MT,501c3,1,50211,5732
NP-0078,United Synagogue,religion,2224156,IN,501c3,73,2159153,544361
NP-0079,Harvest Job Training Center,employment,445636,TX,501c3,6,457946,55615
NP-0080,Unity Faith Center,religion,69566,NJ,501c3,4,68383,25014
NP-0081,Children Community Garden,food_agriculture,184352,IL,501c3,4,207189,14002
NP-0082,Lighthouse Theater Company,arts_culture,2619331,MN,501c3,27,1983891,656633
NP-0083,Mountainview Charitable Trust,philanthropy,369780,IA,501c3,2,358871,40148
NP-0084,Pioneer Agricultural Coalition,food_agriculture,840701,ME,501c3,4,912357,111915
NP-0085,Northside Youth Foundation,youth_development,411863,UT,501c3,4,365273,26559
NP-0086,Family Legal Aid Society,crime_legal,2860922,TX,501c3,29,2847107,101616
NP-0087,Greater Community Clinic,health_care,398354,OH,501c3,7,305056,89298
NP-0088,Bayside Transitional Housing,housing_shelter,370473,MA,501c3,10,368600,88756
NP-0089,Pioneer Educational Trust,education,417493,NC,501c3,15,406154,46101
NP-0090,Silver Tutoring Initiative,education,95827,OH,501c3,1,111717,10051
NP-0091,Northside Advocacy Network,civil_rights,936647,MT,501c4,11,900591,118234
NP-0092,Hillcrest Mentoring Network,youth_development,469765,MD,501c3,6,467496,50528
NP-0093,Phoenix Cultural Center,arts_culture,2370359,OH,501c3,61,1840422,620612
NP-0094,Senior Habitat,housing_shelter,4960210,NY,501c3,69,5602627,1791226
NP-0095,Phoenix Food Bank,food_agriculture,94323,CA,501c3,3,112878,11936
NP-0096,Northside Improvement Trust,community_improvement,168724,CA,501c3,2,184588,12092
NP-0097,Capital Museum,arts_culture,1928481,UT,501c3,16,1876823,598452
NP-0098,Phoenix Tutoring Initiative,education,8896356,CA,501c3,89,7628708,1136324
NP-0099,Greater Religious Society,religion,440473,MO,501c3,6,469320,154213
NP-0100,Bright Ministry,religion,79143,NY,501c3,5,79929,24194
NP-0101,Hope Therapy Coalition,mental_health,39900,OH,501c3,0,35028,1937
NP-0102,Mountainview Humane Society,animal,23160,TX,501c3,0,21398,380
NP-0103,Eagle Community Clinic,health_care,459325,SD,501c_other,7,424089,35074
NP-0104,Holy Recreation Association,recreation,38794,CA,501c3,1,37778,12934
NP-0105,United Job Training Center,employment,976447,FL,501c3,18,857972,32943
NP-0106,Lighthouse Justice Initiative,crime_legal,121178,TX,501c3,1,93941,12713
NP-0107,Children Patient Support Network,diseases,362774,MA,501c3,5,346710,39384
NP-0108,Eastview Justice Initiative,crime_legal,2672395,AR,501c3,61,2580537,180394
NP-0109,Golden Community Church,religion,7797,MO,501c3,0,6999,2678
NP-0110,Hope Sports League,recreation,36586,WA,501c3,2,41791,13710
NP-0111,Heritage Scouts Council,youth_development,93039,IL,501c3,2,96296,9001
NP-0112,Lakeshore Parks Foundation,recreation,23681086,LA,501c3,53,23275939,7294753
NP-0113,Saint Health Center,health_care,147554,SC,501c6,4,143133,11564
NP-0114,Community Academy,education,141263,VA,501c3,1,139686,23099
NP-0115,International Scholarship Fund,education,19519,MN,501c3,1,16364,2042
NP-0116,Foundation Academy,education,755135,GA,501c3,18,719093,97452
NP-0117,Pinewood Museum,arts_culture,33372,PA,501c3,0,28348,7648
NP-0118,New Habitat,housing_shelter,685685,NY,501c3,4,616025,158301
NP-0119,Senior Giving Foundation,philanthropy,718991,MA,501c3,11,542242,49590
NP-0120,Hillcrest Civic League,community_improvement,2020543,KS,501c3,63,1972450,260959
NP-0121,Capital Animal Rescue,animal,389094,SC,501c3,18,352225,28066
NP-0122,International Pet Adoption Center,animal,449285,TX,501c3,4,406409,40118
NP-0123,Hillcrest Social Services,human_services,15845068,UT,501c3,201,12100201,1316170
NP-0124,Community Trail Conservancy,recreation,109858,IL,501c3,0,110700,39469
NP-0125,Hope Community Garden,food_agriculture,2886319,WA,501c3,32,2439302,138841
NP-0126,Open Scholarship Fund,education,764528,NV,501c3,7,681595,189753
NP-0127,Crescent Youth Foundation,youth_development,188700,OH,501c4,3,165334,13238
NP-0128,Eagle Disaster Relief,public_safety,4801476,OH,501c3,27,4160708,225532
NP-0129,Pinewood Ministry,religion,495891,MO,501c3,4,409276,167362
NP-0130,Oakland Social Services,human_services,1391970,WV,501c_other,62,1049052,93350
NP-0131,National Faith Center,religion,27528,MI,501c3,0,26850,7210
NP-0132,Cedar Gallery,arts_culture,37344,IL,501c3,0,33182,10733
NP-0133,Southside Justice Initiative,crime_legal,79111,GA,501c3,2,78255,4594
NP-0134,Pioneer Faith Center,religion,47226,AL,501c4,2,54128,8714
NP-0135,First Transitional Housing,housing_shelter,1580485,NH,501c3,40,1337277,334057
NP-0136,Unity Philanthropic Society,philanthropy,83643,PA,501c3,0,78564,928
NP-0137,Eastern Ministry,religion,201231,GA,501c3,5,152057,76316
NP-0138,Community Counseling Center,mental_health,2981619,TX,501c3,25,2902473,309616
NP-0139,Hope Community Clinic,health_care,776704,OR,501c3,15,627281,85616
NP-0140,Mountainview Research Foundation,medical_research,41378,AL,501c3,1,35298,2442
NP-0141,Family Legal Aid Society,crime_legal,122443,AZ,501c3,2,115179,11667
NP-0142,Central Disease Foundation,diseases,13511090,MI,501c3,48,10315878,796277
NP-0143,Southern Justice Fund,civil_rights,22891,CO,501c3,0,22696,783
NP-0144,Riverside Scouts Council,youth_development,739955,LA,501c3,3,561449,39910
NP-0145,Children Community Church,religion,316404,NJ,501c_other,3,303607,65524
NP-0146,Sacred Giving Foundation,philanthropy,204863,IL,501c3,3,212783,30083
NP-0147,Valley Counseling Center,mental_health,18910,AL,501c3,0,18742,515
NP-0148,Eagle Scholarship Fund,education,361703,IN,501c3,7,349975,21149
NP-0149,Lakeshore Trust,unknown_unclassified,1314745,NY,501c_other,59,1196706,146632
NP-0150,Foundation Donor Network,philanthropy,32733,MD,501c3,1,27056,3210
NP-0151,Southside Family Services,human_services,800900,WV,501c3,6,664432,86454
NP-0152,Greater Theater Company,arts_culture,1493925,FL,501c3,41,1471817,245558
NP-0153,Northern Social Services,human_services,27426,DC,501c3,0,28646,120
NP-0154,Family Social Services,human_services,69657,WI,501c3,4,69403,7420
NP-0155,Golden Housing Coalition,housing_shelter,41188,TX,501c3,0,39888,14049
NP-0156,Valley Youth Foundation,youth_development,21061335,CA,501c3,250,20875299,818234
NP-0157,Hope Workforce Development,employment,4272659,MD,501c3,31,4086591,386007
NP-0158,Community Homeless Shelter,housing_shelter,1945690,PA,501c3,52,2241220,360369
NP-0159,Lighthouse Land Trust,environment,411068,ID,501c3,19,360998,41524
NP-0160,Children Scholarship Fund,education,247749,TN,501c4,0,249761,59387
NP-0161,Hillcrest Wellness Foundation,health_care,257939,FL,501c3,17,272011,46011
NP-0162,Mountainview Wildlife Sanctuary,animal,115705,LA,501c3,0,97526,1968
NP-0163,New Charitable Trust,philanthropy,204521,PA,501c_other,0,176364,3263
NP-0164,Valley Hospital Volunteers,health_care,75175,NY,501c3,4,70855,17324
NP-0165,Beacon Helpline,human_services,20663716,FL,501c3,295,21691467,843201
NP-0166,Bright Workforce Development,employment,14219,NY,501c3,0,15149,334
NP-0167,Willow Philanthropic Society,philanthropy,900480,GA,501c4,14,747503,88637
NP-0168,Crescent Disaster Relief,public_safety,646654,CA,501c3,5,497494,48359
NP-0169,New Global Relief,international,261876,FL,501c3,3,213850,22743
NP-0170,Crescent Mentoring Network,youth_development,292598,NJ,501c3,14,394382,19284
NP-0171,Southern Family Services,human_services,128732,PA,501c3,5,127423,15066
NP-0172,Saint Trail Conservancy,recreation,24410377,NY,501c3,156,23902059,3689716
NP-0173,Southern Learning Center,education,1460935,MD,501c3,32,1187358,117292
NP-0174,Central Research Foundation,medical_research,4086325,SC,501c6,15,3987984,397625
NP-0175,Senior Homeless Shelter,housing_shelter,2435823,PA,501c3,53,2419704,741035
NP-0176,Sacred Scouts Council,youth_development,308947,FL,501c3,11,304388,34858
NP-0177,Beacon Agricultural Coalition,food_agriculture,650884,WA,501c6,5,636017,89490
NP-0178,Oakland Synagogue,religion,96801,LA,501c3,0,103150,31383
NP-0179,Open Neighborhood Coalition,community_improvement,57158,NY,501c3,2,54993,10515
NP-0180,Harvest Mentoring Network,youth_development,552714,CA,501c3,6,475373,78204
NP-0181,Western Food Bank,food_agriculture,115509,FL,501c7,5,99895,10883
NP-0182,Bayside Public Interest Forum,public_societal,26190,FL,501c4,3,22237,3729
NP-0183,Pinewood Cultural Center,arts_culture,14548304,WA,501c3,272,16793544,3610506
NP-0184,Bayside Meal Program,food_agriculture,40037,FL,501c3,1,38063,2820
NP-0185,Maple Community Services,human_services,356296,FL,501c3,15,273402,39303
NP-0186,Faith Agricultural Coalition,food_agriculture,217109,NE,501c3,3,245375,25346
NP-0187,Children Social Services,human_services,35053,MO,501c3,0,34918,1556
NP-0188,Foundation Social Services,human_services,157894,TN,501c6,1,123257,18904
NP-0189,Family Medical Research Institute,medical_research,424088,VA,501c3,8,417309,43043
NP-0190,Bright Housing Coalition,housing_shelter,1470637,VA,501c3,15,1603419,236253
NP-0191,Hope Educational Trust,education,875871,OK,501c3,20,814365,121830
NP-0192,National Learning Center,education,426362,GA,501c3,11,413484,90939
NP-0193,Harvest Parks Foundation,recreation,6974,CA,501c3,2,6532,763
NP-0194,Pioneer Justice Fund,civil_rights,360195,SC,501c8,13,459787,48393
NP-0195,Northside Academy,education,36395,NH,501c4,0,46535,2746
NP-0196,Mountainview World Mission,international,722365,RI,501c3,19,574954,61599
NP-0197,Sunrise Conservancy,environment,18737,IA,501c3,1,22276,1103
NP-0198,Children Recreation Association,recreation,2026489,NC,501c3,13,1614843,334736
NP-0199,Southside Schools Foundation,education,3416381,VT,501c3,48,3377526,730000
NP-0200,Saint STEM Foundation,science_tech,172129,SD,501c3,0,204484,7845
NP-0201,Pioneer Search and Rescue,public_safety,349917,CA,501c3,18,291573,16763
NP-0202,Harvest Global Relief,international,96371,MI,501c3,0,73388,1988
NP-0203,Westgate Awareness Campaign,diseases,19738,NY,501c3,2,17663,1043
NP-0204,Crescent Social Services,human_services,49959,AZ,501c4,1,48003,2751
NP-0205,Beacon Synagogue,religion,8936478,CA,501c6,285,9558122,2780411
NP-0206,First Safety Coalition,public_safety,344177,SC,501c3,11,293432,30863
NP-0207,Lighthouse Cross-Border Initiative,international,52996,PA,501c3,2,41293,3248
NP-0208,International Wellness Foundation,health_care,314416,FL,501c3,17,313527,36947
NP-0209,Bright Ministry,religion,36540,TN,501c3,0,35605,13705
NP-0210,Eastern Synagogue,religion,6589,VA,501c3,1,6052,1116
NP-0211,Harvest Arts Council,arts_culture,424785,NJ,501c3,17,403879,110301
NP-0212,First Arts Council,arts_culture,82913,WI,501c3,4,82109,30920
NP-0213,Silver Housing Coalition,housing_shelter,73228,NY,501c3,1,60384,16242
NP-0214,Hope Foundation,unknown_unclassified,3741966,FL,501c3,12,3090313,360441
NP-0215,Riverside Community Services,human_services,336840,CA,501c3,20,403326,46273
NP-0216,Central Conservancy,environment,112205,IA,501c4,5,108167,10677
NP-0217,Cedar Watershed Alliance,environment,59449,OK,501c3,3,57660,2332
NP-0218,Western Humane Society,animal,2391375,OR,501c3,57,2288539,355399
NP-0219,Children Homeless Shelter,housing_shelter,119927,MT,501c3,1,119656,26265
NP-0220,Pioneer Arts Council,arts_culture,193273,NY,501c_other,2,152134,53297
NP-0221,Valley Equity Initiative,civil_rights,13780,PA,501c3,0,13527,509
NP-0222,Holy Educational Trust,education,170717,CA,501c3,0,142752,27553
NP-0223,Children Academy,education,455635,CA,501c3,12,456197,60491
NP-0224,Sacred Community Services,human_services,84151,WA,501c_other,0,65449,1267
NP-0225,Greater Learning Center,education,120164,NC,501c3,1,140843,17923
NP-0226,Capital Employment Coalition,employment,199585,TX,501c3,4,163050,25518
NP-0227,Saint Educational Trust,education,70590,PA,501c6,0,57448,13904
NP-0228,Maple Ministry,religion,75751,AL,501c3,1,84839,30238
NP-0229,Family Justice Fund,civil_rights,1879329,CA,501c3,64,1863475,71976
NP-0230,United Helpline,human_services,60101,TX,501c3,3,57318,8948
NP-0231,Bright Disease Foundation,diseases,785026,NJ,501c6,3,759886,107909
NP-0232,International Schools Foundation,education,45076,NY,501c3,0,52637,5856
NP-0233,Phoenix Religious Society,religion,83467,GA,501c3,3,82163,13881
NP-0234,Western Pantry,food_agriculture,25804,MD,501c3,0,24103,110
NP-0235,Sunrise Therapy Coalition,mental_health,341304,IL,501c3,17,305261,28769
NP-0236,Maple Cultural Center,arts_culture,128668,WI,501c3,3,121820,22281
NP-0237,National Scholarship Fund,education,76545,WA,501c7,2,67471,9883
NP-0238,First Tech Initiative,science_tech,12038,NC,501c3,0,11922,37
NP-0239,Beacon Counseling Center,mental_health,756630,FL,501c3,18,856006,57985
NP-0240,Valley Counseling Center,mental_health,3961129,OK,501c3,46,4194902,438311
NP-0241,Saint Animal Rescue,animal,37729,TX,501c3,0,31192,350
NP-0242,Willow Safety Coalition,public_safety,79556,MI,501c3,2,87128,7013
NP-0243,International Synagogue,religion,717910,NJ,501c3,16,550302,78437
NP-0244,Silver Health Center,health_care,39985,NY,501c3,1,38976,6084
NP-0245,Liberty Health Center,health_care,448386,VA,501c_other,3,435861,42017
NP-0246,Heritage Community Services,human_services,1135184,IN,501c3,65,1047139,45904
NP-0247,Oakland Conservancy,environment,3559623,CO,501c3,62,2768842,195047
NP-0248,Northern Recreation Association,recreation,48070,VA,501c3,0,47955,12225
NP-0249,Eastern Schools Foundation,education,14087,MN,501c3,2,13005,1407
NP-0250,Children Community Foundation,community_improvement,170442,MN,501c3,2,130405,35608
NP-0251,Western Medical Research Institute,medical_research,2907131,MN,501c3,70,2181786,357275
NP-0252,Sacred Social Services,human_services,116601,NC,501c3,3,110027,15039
NP-0253,Saint Wellness Foundation,health_care,40903,NY,501c3,1,44020,2420
NP-0254,Cedar Theater Company,arts_culture,212145,NM,501c3,1,202936,62582
NP-0255,International Learning Center,education,840216,IL,501c3,7,735290,164008
NP-0256,Southern Justice Initiative,crime_legal,55107,CA,501c3,0,48824,25
NP-0257,Phoenix Civic League,community_improvement,27320,ND,501c3,0,24893,1929
NP-0258,Unity Schools Foundation,education,47188,SC,501c3,0,35470,8494
NP-0259,Lighthouse Aid Society,human_services,215968,TN,501c3,4,166315,25979
NP-0260,Children Counseling Center,mental_health,92245,GA,501c3,0,90400,2802
NP-0261,Family Donor Network,philanthropy,383568,IN,501c3,8,370057,14018
NP-0262,Silver Affordable Housing Initiative,housing_shelter,388487,TX,501c3,2,463617,54230
NP-0263,Hope Wellness Network,mental_health,7449199,MD,501c3,48,7081876,416329
NP-0264,Hillcrest Habitat,housing_shelter,205454,TN,501c3,0,179404,37647
NP-0265,Sunrise Homeless Shelter,housing_shelter,352427,FL,501c3,20,349511,107249
NP-0266,Central Community Services,human_services,7825,CO,501c3,2,6826,286
NP-0267,Pinewood Tutoring Initiative,education,36360,WI,501c3,1,35852,3032
NP-0268,Eastern Civil Rights Coalition,civil_rights,515391,NY,501c4,12,529408,19412
NP-0269,Northern Habitat,housing_shelter,1699951,NJ,501c3,55,1537887,626058
NP-0270,Riverside Pet Adoption Center,animal,2025723,NJ,501c3,13,1674454,97255
NP-0271,Northside Humane Society,animal,55104,NY,501c4,2,48748,2001
NP-0272,Silver Temple,religion,70361,CA,501c3,1,66870,11271
NP-0273,Bright Social Services,human_services,11557288,NY,501c3,165,10823163,379879
NP-0274,Southside Mentoring Network,youth_development,198638,MO,501c3,4,189738,18588
NP-0275,Southern Homeless Shelter,housing_shelter,548772,CA,501c_other,3,598012,140445
NP-0276,Pinewood Workforce Development,employment,417042,MN,501c3,14,360142,34279
NP-0277,Children Hospital Volunteers,health_care,185524,OK,501c6,1,141914,16797
NP-0278,Eastview Academy,education,57912,TX,501c3,2,64905,6466
NP-0279,Eastern Learning Center,education,816304,LA,501c3,3,752072,65030
NP-0280,Southside Community Church,religion,61394,OH,501c3,0,51597,19917
NP-0281,Capital Food Bank,food_agriculture,12283,LA,501c3,0,12740,387
NP-0282,Senior Sports League,recreation,7112,NY,501c3,0,7044,907
NP-0283,Eagle Learning Center,education,2816789,NE,501c3,58,2328205,381203
NP-0284,Golden Voter Education Network,public_societal,45123,NY,501c3,1,36505,3584
NP-0285,Pioneer Tutoring Initiative,education,42229,NY,501c3,0,55266,2276
NP-0286,Northside Counseling Center,mental_health,3107190,VA,501c3,49,2442136,212113
NP-0287,First Policy Institute,social_science,22764799,SC,501c3,223,22764350,3343638
NP-0288,Maple Community Services,human_services,1234497,NY,501c3,36,1233426,94575
NP-0289,Willow Pet Adoption Center,animal,107394,PA,501c3,3,92737,5053
NP-0290,Willow Search and Rescue,public_safety,24715,FL,501c3,0,18539,1134
NP-0291,Heritage Therapy Coalition,mental_health,1249795,FL,501c3,10,1113491,58738
NP-0292,Liberty Ministry,religion,126484,OH,501c6,1,119549,40437
NP-0293,Western Ministry,religion,16973078,IN,501c3,154,16815613,3624010
NP-0294,Maple Hospital Volunteers,health_care,800330,FL,501c3,14,862021,130851
NP-0295,Valley Community Clinic,health_care,277291,LA,501c3,17,249303,27063
NP-0296,Sunrise Scouts Council,youth_development,882355,NH,501c3,12,708568,52892
NP-0297,Bright Wellness Foundation,health_care,210009,TX,501c3,5,220364,26407
NP-0298,Bayside Academy,education,430134,MI,501c3,9,328941,94264
NP-0299,Crescent Hospital Volunteers,health_care,37303,ID,501c3,0,35003,9161
NP-0300,Willow Member Cooperative,mutual_membership,143253,AR,501c3,2,108974,9989
NP-0301,Sacred Community Services,human_services,68449,WI,501c3,1,56715,6568
NP-0302,Bayside Arts Council,arts_culture,3621821,CA,501c3,69,2735007,547799
NP-0303,Phoenix Pantry,food_agriculture,169469,TX,501c3,0,133368,7503
NP-0304,Central Job Training Center,employment,67600,NY,501c3,2,60116,2812
NP-0305,United Neighborhood Coalition,community_improvement,53996,GA,501c3,4,56256,8482
NP-0306,Greater Pantry,food_agriculture,763245,CA,501c4,20,824338,84952
NP-0307,Liberty Learning Center,education,12109853,MN,501c3,138,10107791,2999077
NP-0308,Valley Society,unknown_unclassified,97651,TN,501c3,5,80817,7585
NP-0309,Silver Transitional Housing,housing_shelter,808059,MS,501c3,18,772202,117081
NP-0310,Eastview Trail Conservancy,recreation,28309,NH,501c3,1,30800,10286
NP-0311,Crescent Community Services,human_services,38204,WA,501c3,0,37618,74
NP-0312,Southern Gallery,arts_culture,188569,MI,501c3,4,151999,46668
NP-0313,Willow Educational Trust,education,19868324,IA,501c3,204,16557358,3558634
NP-0314,Hillcrest Watershed Alliance,environment,954656,KY,501c3,13,1003846,46851
NP-0315,Riverside Research Foundation,medical_research,295544,AL,501c3,8,301476,10910
NP-0316,Phoenix Museum,arts_culture,221692,IL,501c3,2,211980,24201
NP-0317,Southern Recreation Association,recreation,341687,FL,501c4,13,317392,110941
NP-0318,Harvest Hospital Volunteers,health_care,306182,OH,501c3,9,301247,31786
NP-0319,Senior Theater Company,arts_culture,9335,AL,501c3,1,8872,1640
NP-0320,Open Helpline,human_services,4571811,WI,501c3,52,3628380,302916
NP-0321,Northern Disease Foundation,diseases,942123,TX,501c3,13,922987,60221
NP-0322,Mountainview Meal Program,food_agriculture,172583,IL,501c3,1,171654,11365
NP-0323,Capital Justice Fund,civil_rights,3516722,NV,501c3,59,3460587,409887
NP-0324,Eastern Trust,unknown_unclassified,109258,NY,501c3,2,148940,7776
NP-0325,Golden Community Services,human_services,2503645,TN,501c3,72,1962851,272681
NP-0326,Northside Medical Auxiliary,health_care,793093,MI,501c3,7,943748,143460
NP-0327,Hope Humane Society,animal,2558949,IA,501c3,41,2490338,112936
NP-0328,Willow Agricultural Coalition,food_agriculture,777787,FL,501c3,11,718807,37406
NP-0329,Maple Research Foundation,medical_research,182938,WA,501c4,4,140160,12790
NP-0330,Community Boys & Girls Club,youth_development,588397,CA,501c3,20,573380,71565
NP-0331,Faith Scouts Council,youth_development,17861964,TN,501c3,42,14108859,1335577
NP-0332,Holy World Mission,international,13153,VA,501c3,0,13563,67
NP-0333,Pinewood Schools Foundation,education,97699,KY,501c3,2,81747,18304
NP-0334,Lakeshore Group,unknown_unclassified,38218,MI,501c3,0,36191,403
NP-0335,Hope Habitat,housing_shelter,696708,TX,501c3,10,683579,193808
NP-0336,Northern Family Services,human_services,199681,CA,501c3,0,177790,2051
NP-0337,Greater Health Center,health_care,89690,IN,501c3,3,83386,13661
NP-0338,Harvest Medical Auxiliary,health_care,453937,AL,501c3,10,498110,55191
NP-0339,Heritage Scholarship Fund,education,752006,VA,501c4,12,565922,50986
NP-0340,Bayside Social Services,human_services,439677,TX,501c3,5,468007,37289
NP-0341,International Food Bank,food_agriculture,14521,TX,501c3,0,14104,84
NP-0342,Crescent Music Society,arts_culture,214744,TX,501c3,5,192542,45479
NP-0343,Heritage Learning Center,education,3893660,OH,501c3,69,3825296,815261
NP-0344,Greater Aid Society,human_services,38632,CA,501c6,2,33369,3190
NP-0345,Unity Civil Rights Coalition,civil_rights,4050427,AZ,501c3,24,3433241,552928
NP-0346,Open Tutoring Initiative,education,3201245,IN,501c3,36,3735803,376658
NP-0347,Greater Family Services,human_services,72659,CA,501c3,3,69566,9385
NP-0348,Westgate Arts Council,arts_culture,229980,NM,501c3,4,195098,39618
NP-0349,Sacred Affordable Housing Initiative,housing_shelter,1330639,WA,501c3,66,1150479,168200
NP-0350,Foundation Hospital Volunteers,health_care,18219,DE,501c3,0,17308,1242
NP-0351,New Scouts Council,youth_development,369592,AR,501c3,12,281205,20974
NP-0352,Crescent Sports League,recreation,437672,AZ,501c3,16,394720,72882
NP-0353,Eastern Improvement Trust,community_improvement,434050,NH,501c3,5,339787,33894
